"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","COMMENT","FULLNAME","GROUP","MANUFACTURER","NAMECOMP","NOISE","PART NUMBER","POWER","PRECISION","PRICE","TKE","TKS","TU","TU_COM","TYPE","TYPECOMP","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"ADUM6000ARWZ","","","","","","","","","","ADUM6000ARWZ","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"ADUM6400","SOIC-RW16","","","","","","","","","ADUM6400","ADUM6400CRWZ","Микросхемы","Analog Devices","","","","","","500","","","TU","","ADUM6400CRWZ","","","","*","DD?","Микросхема гальванической изоляции с встроенным DC/DC 4 вых"
"ADUM6402","SOIC-RW16","","","","","","","","","ADUM6402","ADUM6402CRWZ","Микросхемы","Analog Devices","","","","","","500","","","TU","","ADUM6402CRWZ","","","","*","DD?","Микросхема гальванической изоляции с встроенным DC/DC 2вх+2вых"
"ARDUINO 2560 R3","","","","","","","","","","Arduino Mega 2560 R3","","*","Arduino","","","","","","","","","","","Arduino Mega 2560 R3","","","","*","A?",""
"ARDUINO 2560 R3_1","","","","","","","","","","Arduino Mega 2560 R3","","Модули радиоэлектронные","Arduino","","","","","","2000","","","","","Arduino Mega 2560 R3","","","","*","A?",""
"ARDUINO_MEGA2560_R3","","","","","","","","","","ARDUINO_MEGA2560_R3","","Group","","","","","","","","","","TU","","Type","","","","*","A?",""
"ATMEGA128","","","","","","","","","","ATMEGA128","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ATMEGA128-AU","TQFP-64","","","","","","","","","ATMEGA128-AU","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ATMEGA1284P-AU","","","","","","","","","","ATMEGA1284P-AU","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ATMEGA1284P-PU","DIP40","","","","","","","","","ATMEGA1284P-PU","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ATMEGA1284P-PU-1","DIP40","","","","","","","","","ATMEGA1284P-PU-1","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ATMEGA16-16PU","DIP40","","","","","","","","","ATMEGA16-16PU","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ATMEGA8-16PU","","","","","","","","","","ATMEGA8-16PU","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ATTINY4313","","","","","","","","","","ATTINY4313","","Микросхемы","Atmel","","","","","","100","","","","","ATTINY4313-SU","","","","*","DD?","Микроконтроллер ARM CortexM3"
"B82477R4","B82477R4","","","","","","","","","B82477R4","","Group","","","","","","","","","","TU","","Type","","Value","","*","L?",""
"BCP5316","","","","","","","","","","BCP5316","","Транзисторы","","","","BCP5316","","","","","","TU","","Type","","","","*","VT?","Транзистор pnp so-t223 80V, 1A"
"BCP5616","","","","","","","","","","BCP5616","","Транзисторы","","","","BCP5616","","","","","","TU","","Type","","","","*","VT?","Транзистор npn sot-223, 80V, 1A"
"BH6-PROG","","","","","","","","","","BH6-PROG","Вилка BH-6","Соединители","","","","","","","10","","","","","BH-6","","","","*","XP?",""
"C","","","","","","","","","","C","","Конденсаторы","","","","","","Precision","","TKE","","TU","","Type","","Value","Volt","*","C?",""
"C0603","C0603","","","","","","","","","C0603","","Конденсаторы","","","","","","Precision","","TKE","","TU","","Type","","Value","Volt","*","C?",""
"C0805","C0805","","","","","","","","","C0805","","Конденсаторы","","","","","","Precision","","TKE","","TU","","Type","","Value","Volt","*","C?",""
"C2-23-0.25","C2-23-0.25","","","","","","","","","C2-23-0.25","","Резисторы","","","","","Power","Precision","","","","TU","","Type","","","","*","R?",""
"CP","","","","","","","","","","CP","","Конденсаторы","","","","","","Precision","","TKE","","TU","","Type","","Value","Volt","*","C?",""
"CP1206","C1206","","","","","","","","","CP1206","","Конденсаторы","","","","","","Precision","","TKE","","TU","","Type","","Value","Volt","*","C?",""
"CP1210","C1210","","","","","","","","","CP1210","","Конденсаторы","","","","","","Precision","","TKE","","TU","","Type","","Value","Volt","*","C?",""
"CP1812","","","","","","","","","","CP1812","","Group","","","","","","Precision","","TKE","","TU","","Type","","Value","Volt","*","C?",""
"CPPL7","","","","","","","","","","CPPL7","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"DRV8432","DKD","","","","","","","","","DRV8432","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"DRV8432DKDEVM","","","","","","","","","","DRV8432DKDEVM","","","Texas Instruments","","","","","","7000","","","","","Модуль силовой DRV8432DKDEVM","","","","*","A?","Модуль силовой"
"ECS-160-10-30B-CKM-TR","","","","","","","","","","","","Group","","","","ECS-160-10-30B-CKM-TR","","","","","","TU","","Type","","","","*","BQ?","Резонатор кварцевый, 16М"
"EPC2032","","","","","","","","","","EPC2032","","Транзисторы","","","","EPC2032","","","","","","TU","","Type","","","","*","VT?","100V, 4мОм, 48А"
"EPC2037","","","","","","","","","","7","","Транзисторы","","","","EPC2037","","","","","","TU","","Type","","","","*","VT?","100V, 550мОм, 1,7А"
"EPM3064A-TQFP44","","","","","","","","","","EPM3064A-TQFP44","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"EPM7128S-TC100","","","","","","","","","","EPM7128S-TC100","","Микросхемы","","","","","","","","","","TU","","Type","","","","*","DD?",""
"ERJ14YJ100","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 1210, 0,5Вт, 10Ом±5% ERJ14YJ100","0,5","±5%","","","","TU","","Type","","10","","*","R?","Резистор Panasonic 1210 5% 10Ом"
"ERJ1TNF75R0","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 2512, 1Вт, 75Ом±1% ERJ1TNF75R0","1W","±1%","","","","TU","","Type","","75","","*","R?","Резистор Panasonic 2512 1Вт 1% 75Ом"
"ERJ3GEYJ331","","","","","","","","","","","","Резисторы","Panasonic","","","ERJ3GEYJ331","0,125","±5%","","","","TU","","Type","","330","","*","R?","Резистор Panasonic 0603 5% 330Ом"
"ERJ6ENF56R0","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 56Ом±1% ERJ6ENF56R0","0,125","±1%","","","","TU","","Type","","56","","*","R?","Резистор Panasonic 0805 1% 56Ом"
"ERJ6GEYJ100","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 10Ом±5% ERJ6GEYJ100","0,125","±5%","","","","TU","","Type","","10","","*","R?","Резистор Panasonic 0805 5% 10Ом"
"ERJ6GEYJ101","","","","","","","","","","","","Резисторы","Panasonic","","","Резистор 0805, 0,125Вт, 100Ом±5% ERJ6GEYJ101","0,125","±5%","","","","TU","","Type","","100","","*","R?","Резистор Panasonic 0805 5% 100Ом"
